title,org,level,term,closing_date,posted_date
"DEPUTY / ASSISTANT MANAGER, BUS ASSETS (TECHNOLOGY & ASSETS MANAGEMENT)",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"DEPUTY / ASSISTANT MANAGER, OPERATIONAL SAFETY",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing in 5  day(s),1 week(s) ago
"DEPUTY / ASSISTANT MANAGER, VRL SERVICE TRANSFORMATION (BUSINESS ANALYST)",Land Transport Authority,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
Manager / Deputy Manager  / Assistant Manager (Aviation Development – Seletar Ai,Civil Aviation Authority of Singapore,00-08 year(s),Contract,Closing on 31 Mar 2022,3 week(s) ago
"DEPUTY / ASSISTANT MANAGER, BUS INFRASTRUCTURE MANAGEMENT",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"PRINCIPAL / SENIOR / ASSISTANT ENGINEER, TRANSIT OPERATOR PERFORMANCE MANAGEMENT",Land Transport Authority,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"PRINCIPAL / SENIOR EXECUTIVE, PUBLIC SERVICE VEHICLE & VOCATIONAL LICENCE ENFORC",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"ASSISTANT MANAGER / PRINCIPAL EXECUTIVE / SENIOR EXECUTIVE / EXECUTIVE, BUS OPER",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"ASSISTANT MANAGER, BUS STOP & BUS PRIORITY",Land Transport Authority,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"SENIOR MANAGER / MANAGER, MANPOWER DEVELOPMENT",Land Transport Authority,08-00 year(s),Contract,Closing in 5  day(s),3 week(s) ago
MAINTENANCE ADUIT AND FAULT TRENDS ANALYST MANAGER (ASSET ENGINEERING PLANNING &,Land Transport Authority,02-00 year(s),Contract,Closing in 5  day(s),3 week(s) ago
"Technical Product Manager, Visitor Experience Technology",Singapore Tourism Board,03-05 year(s),Permanent,Closing on 25 Mar 2022,3 week(s) ago
VEHICLE ENFORCEMENT OFFICER,Land Transport Authority,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager (Information Security),Military Security Department,Entry level,Permanent,Closing on 31 Mar 2022,3 week(s) ago
"SENIOR/EXECUTIVE ENGINEER, GEOTECHNICAL & TUNNELS",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager (Protective Security Management),Military Security Department,Entry level,Permanent,Closing on 31 Mar 2022,3 week(s) ago
"Deputy / Assistant Director, Cyber Intelligence",Monetary Authority of Singapore,Entry level,Permanent,Closing in 4  day(s),3 week(s) ago
Manager (Capability Development Technology),Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,3 week(s) ago
Deputy / Assistant Director (Cyber Risk Surveillance & Analysis),Monetary Authority of Singapore,Entry level,Permanent,Closing in 4  day(s),3 week(s) ago
"Executive / Senior Executive (Legal Support), Legal Aid Bureau",Ministry of Law,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager (Secretariat),Ministry of Health,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
"Executive, Levy Administration (Domestic Sector)",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 26 Mar 2022,3 week(s) ago
"Intern,Data Ecosystem Building an Informal Data Community (GDO)",Smart Nation and Digital Government Office,Entry level,Internship,Closing on 15 Apr 2022,3 week(s) ago
"Intern,Data Ecosystem Materials for Agency Transformation (GDO)",Smart Nation and Digital Government Office,Entry level,Internship,Closing on 15 Apr 2022,3 week(s) ago
"Intern,Stock-take and Next Bound of Government Data Strategy (GDO)",Smart Nation and Digital Government Office,Entry level,Internship,Closing on 15 Apr 2022,3 week(s) ago
"Intern,Data Ethics (GDO)",Smart Nation and Digital Government Office,Entry level,Internship,Closing on 04 Apr 2022,1 week(s) ago
"Intern,Privacy Preserving Technology (GDO)",Smart Nation and Digital Government Office,Entry level,Internship,Closing on 15 Apr 2022,3 week(s) ago
"Intern,Personal Data Protection (GDO)",Smart Nation and Digital Government Office,Entry level,Internship,Closing on 15 Apr 2022,3 week(s) ago
"Assistant Manager/Senior Executive/Executive (CANVAS, DGO, SPRG)",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 25 Mar 2022,4 day(s) ago
"Assistant Director/Manager (CANVAS, DGO, SPRG)",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 25 Mar 2022,4 day(s) ago
"Intern,Cyber Physical Infrastructure Master Plan project (SCPO)",Smart Nation and Digital Government Office,Entry level,Internship,Closing on 15 Apr 2022,3 week(s) ago
Asst/Deputy Manager / Systems Architect (IT Infra),Temasek Polytechnic,02-08 year(s),Fixed Terms,Closing on 31 Mar 2022,3 week(s) ago
Leads Marketing & CRM Executive (1-year fixed term contract) [Partners & Operati,Workforce Singapore,Entry level,Contract,Closing in 5  day(s),1 week(s) ago
"Manager, Talent Acquisition",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
Assistant Director (Digital Tech Talent Development),Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),3 week(s) ago
"SENIOR EXECUTIVE / EXECUTIVE, RECORD MANAGEMENT (1-YEAR TEMPORARY CONTRACT)",Land Transport Authority,02-00 year(s),Contract,Closing in 5  day(s),3 week(s) ago
"Senior Manager, Strategy Planning",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
"Senior Manager/ Manager, Finance Business Partner",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
"SENIOR ENGINEER / DEPUTY MANAGER, DEVELOPMENT & BUILDING CONTROL, POLICY AND PLA",Land Transport Authority,05-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"Manager, Development and Organisation Transformation",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),3 week(s) ago
"SENIOR ASSISTANT ENGINEER / ASSISTANT ENGINEER, DEVELOPMENT & BUILDING CONTROL",Land Transport Authority,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior / Manager (Communications & Engagement),Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
"ASSISTANT MANAGER, DEVELOPMENT AND BUILDING CONTROL, DIGITALISATION & INTERNAL R",Land Transport Authority,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Assistant Director / Senior Manager - Communications and Marketing Group,Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),3 week(s) ago
"Manager, Technical Procurement Specialist",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
"Manager, Organisational Development",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
"Curriculum Manager, Digital Academy (2-Year Direct Contract)",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
Senior/Principal Tax Policy Officer (Corporate Tax Division),Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
"DEPUTY MANAGER, ELECTRONIC PARKING SYSTEM",Land Transport Authority,05-00 year(s),Contract,Closing in 5  day(s),3 week(s) ago
"Manager, Strategy Planning",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
Executive Recruiter,Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
"Manager/Senior Manager, Design and Innovation (2-Year Direct Contract)",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),3 week(s) ago
"MANAGER, LEARNING DEVELOPMENT, SINGAPORE RAIL ACADEMY (SGRA)",Land Transport Authority,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
"Assistant Director / Senior Manager, Audit & Compliance",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),3 week(s) ago
Digital Forensic Incident Response Analyst (Intrusion Analysis),Government Technology Agency,Entry level,Permanent,Closing in 4  day(s),3 week(s) ago
Cybersecurity SOC Specialist (Level 2),Government Technology Agency,Entry level,Permanent,Closing in 4  day(s),3 week(s) ago
"Assistant Director, Whole of Government (WOG) Integrated Risk Management",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),3 week(s) ago
Analyst [Taxpayer Services and Strategy],Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Executive/Senior Executive, Admin Excellence",Sport Singapore,Entry level,Contract,Closing on 19 Mar 2022,1 week(s) ago
"Technical Auditor, Internal Audit",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),3 week(s) ago
"SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT",Land Transport Authority,08-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"ASSISTANT MANAGER / PRINCIPAL EXECUTIVE, APPEALS & VIOLATIONS",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"Executive, Planning & Programmes Division (1-year temp contract)",SkillsFuture Singapore,Entry level,Contract,Closing on 31 Mar 2022,3 week(s) ago
"ASSISTANT MANAGER / PRINCIPAL EXECUTIVE, DRIVER ENGAGEMENT",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"ASSISTANT MANAGER / PRINCIPAL EXECUTIVE, LICENSING OPERATIONS",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"ASSISTANT MANAGER, ENFORCEMENT TECHNOLOGY, OPERATIONS POLICY (1 YEAR TEMPORARY C",Land Transport Authority,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"PRINCIPAL ENGINEER/ SENIOR ENGINEER, GEOTECHNICAL & TUNNELS",Land Transport Authority,08-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"DEPUTY / ASSISTANT MANAGER, SYSTEMS AUDIT",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"DEPUTY MANAGER / ASSISTANT MANAGER, POLICY (COMMERCIAL ARRANGEMENTS DIVISION, NO",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Scientist (Pesticide Residue),Singapore Food Agency,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Senior Manager / Manager (HR Services) (Contract Position),Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
Assistant Director (HR Services) (Contract Position),Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
Assistant Director (Legal),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Manager/ Senior Manager (Staff Development),Defence Science and Technology Agency,Entry level,Permanent,Closing on 10 Apr 2022,6 day(s) ago
Deputy Director (Operations Support) (Contract Position),Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
"Project Manager, UX and Website Designer",National Council of Social Service,Entry level,Contract,Closing on 23 Mar 2022,6 day(s) ago
Senior Manager / Manager / Assistant Manager (Digital Health Regulation),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Senior Manager / Manager / Assistant Manager (Engagement & Strategy),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Lead/Senior DevSecOps Consultant,Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,6 day(s) ago
Senior Manager (Info Planning & Research),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
Assistant Director / Senior Manager  (Quality Audit and Management),Defence Science and Technology Agency,Entry level,Permanent,Closing on 27 Mar 2022,6 day(s) ago
Chief Digital Officer,Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
"Senior Technical Officer (Building & Facilities), Corporate Planning & Services",Defence Science and Technology Agency,Entry level,Contract,Closing on 10 Apr 2022,6 day(s) ago
Data Scientist,Ministry of National Development,Entry level,Permanent/Contract,Closing on 25 Mar 2022,5 day(s) ago
HR Project Intern,Health Sciences Authority,Entry level,Internship,Closing on 23 Mar 2022,5 day(s) ago
"Senior Executive, Finance (2-year contract)",Health Sciences Authority,Entry level,Contract,Closing on 23 Mar 2022,5 day(s) ago
"Data Scientist, Quantitative Strategy",Government Technology Agency,Entry level,Permanent,Closing on 01 Apr 2022,5 day(s) ago
Data Science Team Lead,Government Technology Agency,Entry level,Permanent,Closing on 01 Apr 2022,5 day(s) ago
Lead/Senior Test Automation Consultant,Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,6 day(s) ago
Lead/Senior Application Security Consultant,Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,6 day(s) ago
"Head / Senior Manager (Resource Plans & Organisation), Plans & Strategy",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 22 Mar 2022,3 day(s) ago
Lead/ Senior Application Consultant (AEM/ Digital Marketing),Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,6 day(s) ago
"Deputy Director, Performance & Rewards",Health Promotion Board,Entry level,Permanent,Closing on 31 Mar 2022,6 day(s) ago
"Manager/Senior Manager, Industry Engagement [Tourism Division]",Workforce Singapore,Entry level,Permanent/Contract,Closing on 21 Mar 2022,6 day(s) ago
Audit Intern,Auditor-General's Office,Entry level,Internship,Closing on 31 Mar 2022,6 day(s) ago
Technical Executive (Building) – Lifts,Housing and Development Board,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
Manager (Veterinary Science Programmes),National Parks Board,Entry level,Contract,Closing on 21 Mar 2022,6 day(s) ago
Manager (Learning & Development),Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,6 day(s) ago
"Senior Associate / Manager, Client Facilitation (Post-Sales)",Economic Development Board,Entry level,Permanent,Closing on 30 Jun 2022,6 day(s) ago
"[6 months] Temp Manager Assurance & Corporate Excellence (ACE), Procurement",Sport Singapore,Entry level,Casual,Closing on 22 Mar 2022,6 day(s) ago
"Senior Manager/Manager, Data Product & Services",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
"Senior Manager/Assistant Director, IT Governance",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
[Summer Intern] L&D/Research Intern (IPAM-SOM),Civil Service College,Entry level,Internship,Closing on 31 Mar 2022,6 day(s) ago
"Technical Manager / Senior Technical Manager, Accounting Standards Council",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
"Senior Manager/ Manager (Drugs, Rehab & Immigration Research)",Ministry of Home Affairs,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
Assistant Executive  (CCK Burial Operations) - Contract,National Environment Agency,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
Senior Officer/Executive,National Library Board,Entry level,Fixed Terms,Closing on 08 Mar 2023,5 day(s) ago
"Principal/Lead Engineer, Cybersecurity Tech Stack, Joint Capabilities PMC",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
"Lead/Engineer, Data & AI Platforms (Data), Joint Capabilities PMC",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
"Lead/Engineer, Core and Infrastructure, Communications, Joint Capabilities PMC",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
Research Assistant (Contract) - School Of Electrical & Electronics Engineering,Singapore Polytechnic,Entry level,Contract,Closing on 23 Mar 2022,5 day(s) ago
"Lead/Engineer, Application & Service Enablement, Comms, Joint Capabilities PMC",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
"Principal/Lead/Engineer, EDI Network, Joint Capabilities PMC",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
Human Resource Officer (1-year contract),Singapore Customs,Entry level,Contract,Closing in 4  day(s),5 day(s) ago
Senior Procurement Specialist / Procurement Specialist,Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 22 Mar 2022,5 day(s) ago
Executive/Senior Manager (PEB),"Professional Engineers Board, Singapore",10-12 year(s),Contract,Closing on 23 Mar 2022,5 day(s) ago
"DevOps Engineer, Joint Capabilities Programme Management Centre",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
Senior Officer - Admissions (Continuing Education and Training & Special Program,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),5 day(s) ago
"Cloud Engineer, Joint Capabilities Programme Management Centre",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
Assistant Director / Senior Manager (HR Digital Solutions),Civil Aviation Authority of Singapore,05-15 year(s),Permanent/Contract,Closing on 31 Mar 2022,5 day(s) ago
"Intern, SBT",Health Sciences Authority,Entry level,Internship,Closing on 23 Mar 2022,5 day(s) ago
Manager (Administration) – National Community Leadership Institute (NACLI),People's Association,02-02 year(s),Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
Senior Engineer (Infrastructure Design/Traffic Modelling),JTC Corporation,Entry level,Permanent/Contract,Closing on 05 Apr 2022,5 day(s) ago
"Senior Executive (Operations & Quality), Registries of Patents, Designs and Plan",Intellectual Property Office of Singapore,00-02 year(s),Permanent/Contract,Closing on 06 Apr 2022,5 day(s) ago
Senior Officer - Marketing Communications,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),5 day(s) ago
Associate Trade Mark Examiners,Intellectual Property Office of Singapore,Entry level,Permanent/Contract,Closing on 06 Apr 2022,5 day(s) ago
Engineer/Senior Engineer (Industry Regulation 2 Department) (Contract),National Environment Agency,01-03 year(s),Contract,Closing on 23 Mar 2022,5 day(s) ago
Executive Manager/ Assistant Director (Corporate Communications Division),National Environment Agency,05-08 year(s),Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
Temp Executive (Finance/HR/Payroll & Claims/Digitalisation),Vital,Entry level,Casual,Closing on 22 Mar 2022,5 day(s) ago
Executive/Festivals & Shows (Contract),National Parks Board,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
Assistant Manager (PCDD) - Contract,National Environment Agency,Entry level,Contract,Closing on 23 Mar 2022,5 day(s) ago
"Senior Conservation Scientist, Heritage Conservation Centre (HCC)",National Heritage Board,Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
Assistant Manager / Manager  (SCD),National Environment Agency,Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
Senior Manager/Assistant Director (Policy and Operations),Elections Department,Entry level,Contract,Closing on 23 Mar 2022,5 day(s) ago
"Senior Analyst (Maintenance & Support), Project CUMULUS",Public Service Division,Entry level,Contract,Closing on 23 Mar 2022,5 day(s) ago
"Development Partner / Senior Development Partner, TIC Development (AAD)",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 22 Mar 2022,5 day(s) ago
"Head Solutions, Intel Programme Management Centre",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 22 Mar 2022,5 day(s) ago
Snr Exec/Manager(Strategic Workforce Planning & Labour Market Intellligence),Public Service Division,Entry level,Contract,Closing on 23 Mar 2022,5 day(s) ago
"Lead Engineer / Engineer, System Management Team, Intel Programme Centre",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 22 Mar 2022,5 day(s) ago
"Manager/ Senior Manager, Digital Marketing",Health Promotion Board,Entry level,Permanent,Closing on 31 Mar 2022,5 day(s) ago
Senior Project Manager/ Assistant Director (Project Management),National Library Board,Entry level,Fixed Terms,Closing on 08 Mar 2023,5 day(s) ago
"Data Engineer, Quantitative Strategy",Government Technology Agency,Entry level,Permanent,Closing on 01 Apr 2022,5 day(s) ago
"GCC Communications Specialist, CODEX",Government Technology Agency,Entry level,Permanent,Closing on 01 Apr 2022,5 day(s) ago
Senior Research Executive / Scientist,Temasek Polytechnic,Entry level,Fixed Terms,Closing on 30 Apr 2022,6 day(s) ago
"Senior/Assistant Director (Career Development), Human Resource Division",Ministry of Trade and Industry,Entry level,Contract,Closing on 20 Mar 2022,1 week(s) ago
"MANAGER, SKILLSFUTURE CAREER TRANSITION PROGRAMMES - CET ACADEMY",Ngee Ann Polytechnic,04-06 year(s),Contract,Closing on 20 Mar 2022,1 week(s) ago
"Deputy/Assistant Director, IT Operations (Contract)",Monetary Authority of Singapore,Entry level,Contract,Closing on 06 Apr 2022,1 week(s) ago
"Deputy/Assistant Director, IT Operations",Monetary Authority of Singapore,Entry level,Permanent,Closing on 06 Apr 2022,1 week(s) ago
"Lead Engineer/Engineer, Corrections, ICT Infra",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
"Lead Engineer/Engineer, Policing Common Services, ICT Infra",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
"Head, Application Infrastructure Services, ICT Infra",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
"Lead Engineer /Engineer, Joint Wireless Comms, ICT Infra",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
"Lead Engineer/Engineer, Sustainment Plans & Policies, Ops Systems Sustainment Ce",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
Hydrogeology Modeller (1.5 Year Contract),"PUB, The National Water Agency",Entry level,Contract,Closing on 20 Mar 2022,1 week(s) ago
Engineer (Electrical) (1.5 Year Contract),"PUB, The National Water Agency",Entry level,Contract,Closing on 20 Mar 2022,1 week(s) ago
"Social Media Manager, Digital",Singapore Tourism Board,02-05 year(s),Permanent,Closing on 25 Mar 2022,6 day(s) ago
Analyst - PID,MHA - Singapore Police Force (SPF),Entry level,Permanent,Closing on 06 Apr 2022,1 week(s) ago
"Manager/ Senior Manager - Knowledge Management & IT, Kallang Alive Precinct",Sport Singapore,Entry level,Contract,Closing on 21 Mar 2022,1 week(s) ago
Head (Digital Communications),People's Association,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
"Senior / Curator, Malay Heritage Centre (MHC)",National Heritage Board,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
"Manager/Senior Manager, Conduct & Discipline (Human Resource Department)",Ministry of Manpower,Entry level,Contract,Closing on 21 Mar 2022,1 week(s) ago
"Senior Manager/Assistant Director, Performance Management (HRD)",Ministry of Manpower,Entry level,Contract,Closing on 21 Mar 2022,1 week(s) ago
"Manager/ Senior Manager, Organisational Learning & Excellence (1 year contract)",Health Promotion Board,Entry level,Contract,Closing on 28 Mar 2022,1 week(s) ago
"Assistant Director, Organisational Learning & Excellence",Health Promotion Board,Entry level,Permanent,Closing on 28 Mar 2022,1 week(s) ago
"Assistant Manager / Manager / Senior Manager, HR Sector Development - MPPD",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Manager (Content Strategy and Development),People's Association,02-02 year(s),Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Manager/Executive Manager (HR Business Partners Department) – Contract,National Environment Agency,Entry level,Contract,Closing on 21 Mar 2022,1 week(s) ago
"Assistant Director/Deputy Director, Capital Markets Intermediaries (Quantitative",Monetary Authority of Singapore,Entry level,Permanent,Closing on 06 Apr 2022,1 week(s) ago
IT Programme Manager,Ministry of Communications and Information,05-15 year(s),Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
Senior Executive (Retirement Withdrawals) - Contract,Central Provident Fund Board,Entry level,Contract,Closing on 21 Mar 2022,1 week(s) ago
Finance Officer (Grassroots Finance),People's Association,01-02 year(s),Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Project Manager (Project Management),People's Association,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Licence Processing Officer - PLRD,MHA - Singapore Police Force (SPF),Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
"Executive/ Senior Executive/ Manager (Policy Development), Security Policy Direc",Ministry of Home Affairs,Entry level,Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
Lead Analyst/ Senior Analyst,Strategy Group,03-00 year(s),Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Senior Executive (Research),MHA - Home Team Academy,Entry level,Permanent,Closing on 22 Mar 2022,1 week(s) ago
"Manager (Service Management Branch), ECDA-EI",Ministry Of Social And Family Development,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
Senior Manager/ Manager (HR Partner),Ministry of Communications and Information,02-10 year(s),Permanent/Contract,Closing on 20 Mar 2022,1 week(s) ago
"#SGUnitedJobs Assistant Director/Depy. Director, IT Infrastructure DBA Engineer",Monetary Authority of Singapore,Entry level,Contract,Closing on 06 Apr 2022,1 week(s) ago
Senior Executive/Assistant Director (Digital and Visual Communications),Ministry of Sustainability and the Environment,Entry level,Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
Executive Manager (Strata Titles Board),Building and Construction Authority,02-00 year(s),Permanent/Contract,Closing on 21 Mar 2022,1 week(s) ago
"Assistant Manager/Senior/Early Childhood Officer (Svc Management Br), ECDA-EI",Ministry Of Social And Family Development,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Assistant Manager/Senior/Early Childhood Officer (Svc Management Br), ECDA-EI",Ministry Of Social And Family Development,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Assistant Manager/Senior/Early Childhood Officer (Svc Management Br), ECDA-EI",Ministry Of Social And Family Development,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Senior Manager / Manager (Talent Acquisition and HR Operations), CSA",Cyber Security Agency of Singapore,Entry level,Permanent/Contract,Closing on 30 Apr 2022,6 day(s) ago
OC (Emergency Communications) - POCC,MHA - Singapore Police Force (SPF),Entry level,Permanent,Closing on 22 Mar 2022,6 day(s) ago
"Manager, Skills Strategy & Planning (1-Year Temp Contract)(SIPD)",SkillsFuture Singapore,Entry level,Casual,Closing on 31 Mar 2022,6 day(s) ago
Engineer / Lead Engineer (Programme Management Centre),Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 21 Mar 2022,6 day(s) ago
"ASSISTANT DIRECTOR/SR ASSISTANT DIRECTOR (CLIMATE ADAPTATION), ECPD",Ministry of Sustainability and the Environment,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
Manager/ Senior Manager (Community Engagement & Partnership),Maritime and Port Authority of Singapore,Entry level,Permanent,Closing on 07 Apr 2022,6 day(s) ago
"Senior/ Forensic Scientist, DNA Profiling Laboratory",Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
"Senior/ Forensic Scientist, Forensic Chemistry and Physics Lab (Forensic Chemist",Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
Manager (Operations) (2-year contract),Singapore Food Agency,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
"Manager/ Assistant Manager, ASG Group Director's Office",Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
"Forensic Scientist, Illicit Drugs Laboratory",Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
